species,size,fragrance,height_cm,species type
shoeblack plant,large,none,93.03,2
hibiscus,large,none,185.74,3
hibiscus,large,none,112.85,3
shoeblack plant,large,none,125.6,2
hibiscus,large,none,150.92,3
shoeblack plant,medium,none,77.7,2
rose,medium,strong,51.39,1
rose,small,strong,54.42,1
rose,medium,strong,32.16,1
hibiscus,large,none,119.23,3
shoeblack plant,large,none,120.71,2
rose,small,strong,72.82,1
shoeblack plant,large,none,107.7,2
shoeblack plant,medium,none,137.09,2
rose,small,strong,40.7,1
shoeblack plant,large,none,51.07,2
shoeblack plant,medium,mild,95.33,2
rose,small,strong,51.98,1
shoeblack plant,large,none,84.2,2
rose,small,mild,41.79,1
shoeblack plant,large,none,127.48,2
hibiscus,large,none,107.41,3
rose,small,strong,48.33,1
rose,medium,strong,52.81,1
hibiscus,large,none,137.83,3
hibiscus,large,none,137.88,3
rose,medium,mild,82.96,1
rose,medium,strong,68.12,1
shoeblack plant,medium,mild,121.23,2
rose,medium,strong,53.4,1
rose,small,mild,81.37,1
shoeblack plant,large,none,102.26,2
shoeblack plant,medium,none,132.69,2
shoeblack plant,large,none,51.59,2
shoeblack plant,medium,mild,103.6,2
rose,small,mild,43.17,1
shoeblack plant,medium,none,93.16,2
hibiscus,large,none,175.17,3
rose,small,mild,95.88,1
rose,small,mild,40.16,1
shoeblack plant,large,none,131.05,2
rose,small,mild,47.18,1
shoeblack plant,large,none,93.76,2
shoeblack plant,large,mild,111.49,2
rose,medium,strong,50.36,1
hibiscus,large,none,129.69,3
rose,medium,strong,69.96,1
rose,medium,strong,30.17,1
shoeblack plant,medium,mild,145.09,2
shoeblack plant,large,none,141.47,2
shoeblack plant,large,mild,111.87,2
hibiscus,large,none,156.04,3
rose,medium,mild,33.61,1
shoeblack plant,large,mild,70.38,2
hibiscus,large,none,108.59,3
hibiscus,large,none,145.81,3
shoeblack plant,medium,mild,131.41,2
hibiscus,large,none,177.15,3
shoeblack plant,medium,none,90.04,2
shoeblack plant,medium,mild,136.72,2
rose,small,mild,72.54,1
shoeblack plant,large,mild,63.55,2
shoeblack plant,large,mild,126.91,2
rose,medium,mild,39.37,1
rose,small,strong,38.99,1
hibiscus,large,none,111.89,3
hibiscus,large,none,160.02,3
shoeblack plant,large,none,141.97,2
shoeblack plant,large,mild,100.91,2
shoeblack plant,large,none,88.26,2
shoeblack plant,large,mild,78.26,2
shoeblack plant,medium,none,142.32,2
shoeblack plant,large,none,70.7,2
hibiscus,large,none,160.68,3
shoeblack plant,large,none,116.53,2
hibiscus,large,none,169.46,3
rose,small,strong,90.1,1
hibiscus,large,none,137.76,3
shoeblack plant,medium,none,140.61,2
shoeblack plant,large,mild,111.82,2
shoeblack plant,large,none,130.25,2
rose,small,strong,54.87,1
hibiscus,large,none,100.83,3
hibiscus,large,none,171.61,3
shoeblack plant,large,none,103.07,2
hibiscus,large,none,164.21,3
hibiscus,large,none,165.34,3
rose,small,strong,91.15,1
shoeblack plant,medium,none,147.05,2
hibiscus,large,none,190.23,3
rose,medium,mild,53.88,1
shoeblack plant,medium,mild,119.36,2
hibiscus,large,none,166,3
rose,small,strong,55.57,1
hibiscus,large,none,114.61,3
hibiscus,large,none,152.49,3
shoeblack plant,medium,mild,107.51,2
hibiscus,large,none,190.08,3
rose,small,strong,66.44,1
rose,small,strong,62.93,1
hibiscus,large,none,182.92,3
shoeblack plant,large,none,74.04,2
rose,medium,strong,93.09,1
rose,medium,strong,90.82,1
rose,medium,mild,37.01,1
hibiscus,large,none,156.92,3
rose,medium,strong,90.63,1
shoeblack plant,large,mild,63.61,2
shoeblack plant,medium,none,115.94,2
shoeblack plant,large,mild,101.69,2
shoeblack plant,large,mild,78.98,2
hibiscus,large,none,132.48,3
hibiscus,large,none,197.88,3
shoeblack plant,large,mild,73.65,2
rose,medium,strong,99.91,1
shoeblack plant,medium,mild,60.82,2
shoeblack plant,medium,mild,83.37,2
shoeblack plant,medium,none,90.98,2
hibiscus,large,none,164.55,3
rose,small,strong,84.84,1
hibiscus,large,none,190.84,3
rose,medium,strong,47.69,1
shoeblack plant,large,mild,86.21,2
hibiscus,large,none,178.28,3
rose,small,mild,83.3,1
hibiscus,large,none,190.77,3
rose,medium,mild,86.99,1
hibiscus,large,none,163.42,3
rose,small,strong,41.78,1
rose,medium,strong,59.51,1
rose,medium,mild,95.23,1
shoeblack plant,large,none,71.97,2
shoeblack plant,medium,none,142.69,2
hibiscus,large,none,138.99,3
rose,small,strong,37.72,1
hibiscus,large,none,137.36,3
shoeblack plant,medium,none,133.13,2
hibiscus,large,none,117.89,3
shoeblack plant,large,none,60.93,2
rose,small,mild,64.75,1
hibiscus,large,none,155.22,3
shoeblack plant,large,none,79.42,2
shoeblack plant,medium,none,104.05,2
rose,small,mild,68.37,1
hibiscus,large,none,109.43,3
hibiscus,large,none,192.78,3
shoeblack plant,large,mild,89.68,2
rose,small,mild,77.39,1
hibiscus,large,none,106.83,3
rose,small,mild,62.9,1
rose,medium,mild,63.24,1
hibiscus,large,none,142,3
shoeblack plant,medium,mild,134.7,2
shoeblack plant,medium,mild,54.48,2
shoeblack plant,medium,none,138.66,2
shoeblack plant,medium,mild,137.42,2
shoeblack plant,medium,none,96.45,2
rose,small,strong,96.41,1
shoeblack plant,medium,mild,135.96,2
hibiscus,large,none,103.11,3
hibiscus,large,none,191.12,3
shoeblack plant,large,mild,132.97,2
rose,small,mild,85.44,1
shoeblack plant,large,mild,92.01,2
hibiscus,large,none,154.85,3
hibiscus,large,none,160.08,3
shoeblack plant,medium,mild,146.38,2
shoeblack plant,large,mild,119.6,2
rose,small,strong,81.08,1
hibiscus,large,none,147.66,3
shoeblack plant,medium,none,74.4,2
hibiscus,large,none,153.81,3
rose,medium,mild,92.85,1
shoeblack plant,medium,none,143.39,2
hibiscus,large,none,123.41,3
hibiscus,large,none,123.84,3
rose,small,strong,39.15,1
rose,medium,mild,92.27,1
rose,medium,mild,52.36,1
shoeblack plant,large,none,101.33,2
rose,small,mild,35.35,1
shoeblack plant,medium,mild,63.36,2
rose,small,strong,78.23,1
shoeblack plant,large,mild,107.69,2
rose,small,strong,30.32,1
hibiscus,large,none,189.29,3
rose,small,strong,90.06,1
shoeblack plant,large,mild,97.16,2
shoeblack plant,large,mild,126.76,2
hibiscus,large,none,170.19,3
shoeblack plant,large,mild,63,2
shoeblack plant,medium,mild,85.3,2
hibiscus,large,none,159.71,3
shoeblack plant,large,none,100.53,2
rose,small,strong,67.47,1
shoeblack plant,large,none,73.9,2
shoeblack plant,medium,mild,109.14,2
shoeblack plant,large,none,56.55,2
shoeblack plant,large,none,115.47,2
shoeblack plant,medium,mild,135.14,2
rose,small,mild,89.22,1
hibiscus,large,none,168.69,3
rose,small,mild,61.73,1
shoeblack plant,medium,mild,88.44,2
rose,small,mild,99.43,1
shoeblack plant,medium,mild,137.66,2
shoeblack plant,medium,mild,99.66,2
rose,medium,strong,49.52,1
rose,medium,mild,57.81,1
shoeblack plant,medium,mild,60.97,2
shoeblack plant,large,none,145.51,2
shoeblack plant,large,none,116.61,2
rose,medium,strong,42,1
hibiscus,large,none,195.14,3
shoeblack plant,medium,mild,76.98,2
rose,medium,mild,68.87,1
shoeblack plant,medium,none,113.11,2
shoeblack plant,large,mild,71.42,2
shoeblack plant,large,none,92.96,2
shoeblack plant,medium,none,127.75,2
shoeblack plant,large,none,123.05,2
rose,small,mild,61.09,1
hibiscus,large,none,190.63,3
rose,small,strong,53.26,1
shoeblack plant,medium,none,104.71,2
shoeblack plant,medium,mild,111.29,2
shoeblack plant,medium,mild,86.76,2
hibiscus,large,none,128.94,3
hibiscus,large,none,161.76,3
hibiscus,large,none,103.14,3
shoeblack plant,large,mild,105.28,2
rose,medium,strong,85.73,1
hibiscus,large,none,116.76,3
shoeblack plant,large,none,89.28,2
shoeblack plant,medium,none,111.33,2
rose,medium,strong,66.71,1
hibiscus,large,none,127.87,3
hibiscus,large,none,157.44,3
hibiscus,large,none,119.07,3
rose,small,strong,78.37,1
